ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
1	adjust-v	9	53	2.99991	15.07358	10.48342
2	high-n	4	66	1.99984	13.58718	9.22521
3	offset-v	4	96	1.99976	13.04662	9.04000
4	combat-v	3	35	1.73195	14.08726	9.03037
5	target-n	6	238	2.44901	12.32172	8.97394
6	Lamont-n	3	48	1.73191	13.63158	8.93391
7	measure-v	4	129	1.99968	12.62035	8.86045
8	expectation-n	3	81	1.73182	12.87669	8.71460
9	rise-v	11	773	3.31548	11.49669	8.60456
11	rate-n	12	888	3.46284	11.42212	8.56121
12	wage-n	4	200	1.99951	11.98772	8.53648
13	low-j	9	681	2.99888	11.38999	8.46602
15	down-a	6	439	2.44861	11.43846	8.37551
16	measure-n	3	201	1.73148	11.56549	8.11736
17	pressure-n	4	332	1.99918	11.25654	8.07816
18	control-v	3	227	1.73141	11.38999	8.01511
19	remain-v	6	668	2.44815	10.83284	7.90372
20	risk-n	5	597	2.23475	10.73192	7.77118
21	increase-n	3	308	1.73118	10.94975	7.73634
22	keep-v	7	956	2.64397	10.53807	7.69231
23	level-n	4	491	1.99879	10.69200	7.66908
24	record-n	4	543	1.99866	10.54677	7.55706
25	pay-n	3	377	1.73098	10.65812	7.53511
26	cent-n	3	385	1.73096	10.62783	7.51350
27	price-n	13	2263	3.60246	10.18800	7.46203
28	Bank-n	4	645	1.99841	10.29842	7.35976
29	fall-v	4	657	1.99838	10.27183	7.33822
30	income-n	3	480	1.73069	10.30965	7.27890
31	growth-n	4	784	1.99807	10.01687	7.12809
32	high-j	7	1515	2.64293	9.87383	7.10345
33	run-v	6	1364	2.44675	9.80291	7.01796
34	trade-n	3	607	1.73032	9.97099	7.01511
35	interest-n	4	879	1.99784	9.85186	6.98877
36	food-n	4	949	1.99766	9.74131	6.89409
38	recently-a	3	692	1.73008	9.78191	6.86215
39	report-n	3	707	1.73004	9.75097	6.83677
40	continue-v	3	721	1.73000	9.72269	6.81347
42	often-a	3	873	1.72957	9.44670	6.58215
43	lead-v	3	1024	1.72914	9.21654	6.38406
44	cost-n	3	1067	1.72902	9.15720	6.33230
45	back-a	3	1075	1.72899	9.14642	6.32287
46	week-n	4	1555	1.99617	9.02888	6.26191
47	about-a	5	2044	2.23157	8.95633	6.22061
48	consumer-n	3	1313	1.72832	8.85789	6.06729
49	as-a	4	2247	1.99447	8.49779	5.77118
50	get-v	5	2950	2.22957	8.42701	5.72248
51	market-n	4	2778	1.99316	8.19175	5.48282
52	even-a	3	2092	1.72610	8.18587	5.45246
56	percent-n	4	3305	1.99186	7.94114	5.24428
57	more-a	3	2525	1.72487	7.91447	5.19802
58	last-j	4	3515	1.99135	7.85227	5.15922
59	now-a	3	2805	1.72408	7.76276	5.05456
60	also-a	4	3919	1.99035	7.69531	5.00848
63	[number]-m	33	35536	5.71410	7.55898	4.92120
65	time-n	3	3183	1.72300	7.58037	4.88106
66	year-n	7	7679	2.63146	7.53223	4.87219
68	new-j	3	3274	1.72274	7.53970	4.84223
71	not-a	10	12364	3.14302	7.35965	4.71033
77	do-v	6	8162	2.43308	7.22183	4.56346
78	more-j	3	4084	1.72044	7.22077	4.53614
80	be-v	41	68398	6.35052	6.92746	4.29266
84	have-v	13	26798	3.56895	6.62218	3.98239
87	say-v	6	19691	2.40990	5.95129	3.30855
	
